page,type,text,x1,y1,x2,y2,block_type,block_id
0,Title,VILA: Improving Structured Content Extraction from Scientiﬁc PDFs Using Visual Layout Groups,0.1389362416107382,0.0835453156769595,0.8627935006711407,0.1195146743467934,,
0,Author,"Zejiang Shen 1 Kyle Lo 1 Lucy Lu Wang 1 Bailey Kuehl 1 Daniel S. Weld 1 , 2 Doug Downey 1 , 3 1 Allen Institute for AI 2 University of Washington 3 Northwestern University {shannons, kylel, lucyw, baileyk, danw, dougd}@allenai.org",0.1798372483221474,0.1397293342042755,0.8277694630872482,0.2073117603325413,,
0,Abstract,"Abstract Accurately extracting structured content from PDFs is a critical ﬁrst step for NLP over scientiﬁc papers. Recent work has improved extraction accuracy by incorporating elemen- tary layout information, e.g., each token’s 2D position on the page, into language model pretraining. We introduce new methods that explicitly model VIsual LAyout (VILA) groups , i.e., text lines or text blocks, to fur- ther improve performance. In our I-VILA approach, we show that simply inserting spe- cial tokens denoting layout group boundaries into model inputs can lead to a 1.9% Macro F1 improvement in token classiﬁcation. In the H-VILA approach, we show that hierar- chical encoding of layout-groups can result in up-to 47% inference time reduction with less than 0.8% Macro F1 loss. Unlike prior layout-aware approaches, our methods do not require expensive additional pretraining, only ﬁne-tuning, which we show can reduce training cost by up to 95%. Experiments are conducted on a newly curated evalua- tion suite, S2-VLUE, that uniﬁes existing automatically-labeled datasets and includes a new dataset of manual annotations covering diverse papers from 19 scientiﬁc disciplines. Pre-trained weights, benchmark datasets, and source code are available at https: //github.com/allenai/VILA .",0.1564093959731543,0.2447071695961994,0.4554334899328859,0.7043181966745843,,
0,Section,1 Introduction,0.1208053691275167,0.7385135828978622,0.2597544805369127,0.752712157719715,,
0,Paragraph,"Scientiﬁc papers are usually distributed in Portable Document Format (PDF) without extensive seman- tic markup. Extracting structured document repre- sentations from these PDF ﬁles—i.e., identifying title and author blocks, ﬁgures, references, and so on—is a critical ﬁrst step for downstream NLP tasks (Beltagy et al., 2019; Wang et al., 2020) and is important for improving PDF accessibility (Wang et al., 2021).",0.1208053691275167,0.7672437833729215,0.4900736817318792,0.9089339258907364,,
0,Paragraph,"Recent work demonstrates that document layout information can be used to enhance content extrac- tion via large-scale, layout-aware pretraining (Xu et al., 2020, 2021; Li et al., 2021). However, these methods only consider individual tokens’ 2D po- sitions and do not explicitly model high-level lay- out structures like the grouping of text into lines and blocks (see Figure 1 for example), limiting accuracy. Further, existing methods come with enormous computational costs: they rely on fur- ther pretraining an existing pretrained model like BERT (Devlin et al., 2019) on layout-enriched in- put, and achieving the best performance from the models requires more than a thousand (Xu et al., 2020) to several thousand (Xu et al., 2021) GPU- hours. This means swapping in a new pretrained text model or experimenting with new layout-aware architectures can be prohibitively expensive, incom- patible with the goals of green AI (Schwartz et al., 2020).",0.5155637583892617,0.2457806004750594,0.8848309361543626,0.5644778688836104,,
0,Paragraph,"In this paper, we explore how to improve the accuracy and efﬁciency of structured content ex- traction from scientiﬁc documents by using VI sual LA yout (VILA) groups. Following Zhong et al. (2019) and Tkaczyk et al. (2015), our methods use the idea that a document page can be segmented into visual groups of tokens (either lines or blocks), and that the tokens within each group generally have the same semantic category, which we refer to as the group uniformity assumption (see Fig- ure 1(b)). Given text lines or blocks generated by rule-based PDF parsers (Tkaczyk et al., 2015) or vision models (Zhong et al., 2019), we design two different methods to incorporate the VILA groups and the assumption into modeling: the I-VILA model adds layout i ndicator tokens to textual inputs to improve the accuracy of existing BERT-based language models, while the H-VILA model uses VILA structures to deﬁne a h ierarchical model that models pages as collections of groups rather than of individual tokens, increasing inference efﬁciency.",0.5149043624161074,0.5741440209026127,0.8849801524328861,0.9089339258907364,,
0,Paragraph,a r X i v : 2106 . 00676v3 [ c s . C L ] 5 J a n 2022,0.0274161073825503,0.3225534441805226,0.0609731543624161,0.718396674584323,,
1,Paragraph,"Previous datasets for evaluating PDF content extraction rely on machine-generated labels of imperfect quality, and comprise papers from a limited range of scientiﬁc disciplines. To better evaluate our proposed methods, we design a new benchmark suite, Semantic Scholar Visual Layout- enhanced Scientiﬁc Text Understanding Evaluation ( S2-VLUE ). The benchmark extends two existing resources (Tkaczyk et al., 2015; Li et al., 2020) and introduces a newly curated dataset, S2-VL, which contains high-quality human annotations for papers across 19 disciplines.",0.1202013422818791,0.0774516218527315,0.490072986185235,0.2674161111638954,,
1,Paragraph,Our contributions are as follows:,0.1391090604026846,0.271459935391924,0.3792556912751678,0.2844161111638954,,
